date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                tweet_id,likes,retweets,replies,quote_count,original_tweet_id
2020-03-12 11:24:01,marthatorresgra,True,False,RT @MnicaRebullCome: La ministra Irene Montero  primer positivo por coronavirus en el Gobierno https://t.co/svdUVOzYB2,,,,,,1238063192032653314,0,0,0,0,1238061576386682882
2020-03-12 11:24:29,hysterisk65,False,True,@HenrikSundstrom Incitament al la Japan! https://t.co/UVgaoVdUIi,In response to COVID-19  Japan is going to start paying parents $80 a day to stay home from work and take care of t… https://t.co/XpJP4oZQdh,,,,,1238063309439541250,0,0,0,0,
2020-03-12 11:25:16,jctrudelle28,True,True,RT @sandrafellous_: ⭕️😭À l’aide. MERCI D’AIDER NOS FRÈRES ITALIENS.   VOUS ME SUIVEZ  VOUS POUVEZ AIDER D’UNE MANIÈRE OU D’UNE AUTRE  SVP.…,VIDEO : #Coronavirus :   Les hôpitaux italiens sont surchargés.  Plus de 1 000 patients sont sous respirateur artif… https://t.co/1JrynLAVD3,,,,,1238063507070951424,0,0,0,0,1237839342413819907
2020-03-12 11:25:31,northway_debbie,True,False,RT @AIlancheran: Australia has the 5th highest case increase in the world today. Source: https://t.co/UVkt8LRPZi. Please #canceltheGrandPri…,,,,,,1238063569691799554,0,0,0,0,1238059423995592704
2020-03-12 11:25:39,aafsuarez,True,False,RT @AFPespanol: #ULTIMAHORA La Liga española suspende el campeonato por al menos dos jornadas por el coronavirus #AFP https://t.co/UVZxDiek…,,,,ULTIMAHORA;AFP,,1238063603619713024,0,0,0,0,1238060083377995777
2020-03-12 11:25:47,KristinaGhazal,True,False,RT @VidaDeMadrid: Comunicado del Real Madrid  https://t.co/nJfHQklFIe  #coronavirusMadrid https://t.co/UnESOTpUVN,,,,,,1238063636423348226,0,0,0,0,1238060004978155522
2020-03-12 11:25:48,somenlovelove,False,False,｢ウイルスばらまいてやる男性｣   12日19:10更新：「ウイルスばらまいてやる」男性と濃厚接触した女性が感染 #Coronavirus https://t.co/WfUVGCZlp8,,,,,,1238063640772620290,0,0,0,0,
2020-03-12 11:26:00,el_pais,False,False,La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea ponerse a fabricar mascarillas ante la falta de recursos para afrontar la epidemia del coronavirus https://t.co/SSNQNusKKN,,,,,,1238063688944422914,0,0,0,0,
2020-03-12 11:26:08,daynoimi,False,False,Quảng Ninh đóng cửa rạp phim  dừng hoạt động nghệ thuật vì Covid-19 https://t.co/AvjVUeCauN https://t.co/GNUVmr0UnY,,,,,,1238063724415647744,0,0,0,0,
2020-03-12 11:26:26,pnstrpe23,True,False,RT @TheStreet: Breaking - JetBlue $JBLU passenger on a flight last night tested positive for coronavirus. $UAL  $AAL  $LUV,,,,,,1238063800198344704,0,0,0,0,1238062916001284096
2020-03-12 11:26:45,ManzanillaMiel5,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238063880095612928,0,0,0,0,1238063688944422914
2020-03-12 11:26:51,senorsommer,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238063904959401984,0,0,0,0,1238063688944422914
2020-03-12 11:26:56,Vicmyr,True,False,RT @AFPespanol: #ULTIMAHORA La Liga española suspende el campeonato por al menos dos jornadas por el coronavirus #AFP https://t.co/UVZxDiek…,,,,ULTIMAHORA;AFP,,1238063926392303617,0,0,0,0,1238060083377995777
2020-03-12 11:27:20,AneAlvarezS,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238064026929766400,0,0,0,0,1238063688944422914
2020-03-12 11:27:25,alvaroeire16,True,False,RT @mrgold25: Nunca pensé que el coronavirus sería mi amigo. https://t.co/gjIUBJUVOA,,,,,,1238064047716814848,0,0,0,0,1238050717950238721
2020-03-12 11:27:25,YoungSeven,True,False,RT @twerk4cheta: The coronavirus not bouta stop us 😂💪🏾 👉🏾 @faexxfae @bmrtwins1 @lilianabanks_ https://t.co/jlqUVUUfUM,,,,,twerk4cheta;faexxfae;bmrtwins1;lilianabanks_,1238064047725195264,0,0,0,0,1237191301147353088
2020-03-12 11:27:58,UniVersoMessina,False,False,A causa dell’elevata diffusione del #COVIDー19  l’#OMS ha annunciato lo stato di #Pandemia.  Si parla di pandemia quando una patologia infettiva si propaga in molti Paesi o continenti  minacciando la popolazione  #UniVersoMe #UVM #StopCOVID19 #coronavirus  https://t.co/BHHTycTQ0K,,,,COVIDー19;OMS;Pandemia,,1238064186388819968,0,0,0,0,
2020-03-12 11:27:59,MaraTer47595917,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238064190281187330,0,0,0,0,1238063688944422914
2020-03-12 11:28:04,boscoronda,True,False,RT @dmavicente: El #coronavirus ya está aquí. Tranquilos.Sigamos las recomendaciones de los expertos.  Hoy en @HUVMacarena no ha faltado na…,,,,,dmavicente;HUVMacarena,1238064211621810176,0,0,0,0,1237777419794341890
2020-03-12 11:28:08,JavierAdell,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238064228105359360,0,0,0,0,1238063688944422914
2020-03-12 11:28:13,24601LaCelda,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238064249374683136,0,0,0,0,1238063688944422914
2020-03-12 11:28:59,Pocahontas0205,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238064441645846529,0,0,0,0,1238063688944422914
2020-03-12 11:29:04,rudoren,False,False,From the archives: in 1918  the Yiddish humorist B. Kovner riffs on the health department’s ban on sneezing. (Yes  it’s OK to make jokes about #coronavirus)   https://t.co/oL2bOTVUVv via @jdforward,,,,,,1238064462864801792,0,0,0,0,
2020-03-12 11:29:20,JaviMG9,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238064530590183424,0,0,0,0,1238063688944422914
2020-03-12 11:29:42,WeeRed7,True,True,RT @FerdiGiugliano: Geopolitics is turning. https://t.co/7XUVs3hx3B,CORONAVIRUS UPDATE: CHINA EASTERN AIRLINES' A350 DEPARTED FOR ROME  ITALY FROM SHANGHAI  BRINGING 9 CHINESE MEDICAL… https://t.co/WhW4dWugAk,,,,,1238064622353219589,0,0,0,0,1238032954305261568
2020-03-12 11:29:51,NevermindKurts,True,True,RT @IvanPMSe: PERO QUÉ ME ESTÁS CONTANDO??? QUE ESTUVO LA SEMANA PASADA EN SEVILLA  EN LA US  EN LA FÁBRICA DE TABACOS Y SE REUNIÓ CON UN M…,🔴 #ÚLTIMAHORA: La ministra de Igualdad Irene Montero  positivo en #coronavirus https://t.co/eaYV2axT8R https://t.co/YZy0UoH21l,,,,,1238064659808292864,0,0,0,0,1238046374790381569
2020-03-12 11:29:55,RogerMedina_,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238064677155942401,0,0,0,0,1238063688944422914
2020-03-12 11:30:59,OmegaNiro,True,False,RT @BFMTV: 🔴 ALERTE INFO. Macron fera une déclaration télévisée jeudi à 20H00 https://t.co/FMemmUVWa5 https://t.co/kUH7ky0S35,,,,,,1238064945176215552,0,0,0,0,1237716026449690627
2020-03-12 11:31:01,Micucaceres,True,True,RT @Facu_QM: Atención con las medidas de prevención dentro de la Facultad 👇🏻 SI VIAJASTE O ESTUVISTE EN CONTACTO CON PERSONAS QUE LO HICIER…,#AvisosFCE 👩‍⚕  Prevención del #COVID19  ⚠ Por RR Nº 337/2020  es OBLIGATORIO que en el ámbito de la UNC quienes ha… https://t.co/3fFfGgbpCL,,,,,1238064953447284737,0,0,0,0,1237934288689156097
2020-03-12 11:31:31,evitagebe,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238065079737868289,0,0,0,0,1238063688944422914
2020-03-12 11:32:44,Banjintino,False,True,Mais c’est la culture ! En France vous mangez bien des escargots !   SAUVAGES,🇨🇳 Alors que le #coronavirus a infecté 2 patients en France  des vidéos émergent sur les habitudes culinaires parti… https://t.co/lrSWGyvASH,,,,,1238065385284435969,0,0,0,0,
2020-03-12 11:32:58,hannahnyetnyet,True,False,RT @msianinsight: Putrajaya lancar Tabung Covid-19 https://t.co/nk8WyB23Zv https://t.co/tEUVuIF8wB,,,,,,1238065444042330112,0,0,0,0,1237666961586147329
2020-03-12 11:33:09,atzot,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238065490930663424,0,0,0,0,1238063688944422914
2020-03-12 11:33:37,Corteflor,True,False,RT @jrarribas: En los hospitales con COVID-19 Nos estamos quedando sin equipos de protección  Nos podemos quedar sin  camas de UVI La respu…,,,,,,1238065608429842432,0,0,0,0,1237270231044816899
2020-03-12 11:33:43,olgajaen,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238065633029263360,0,0,0,0,1238063688944422914
2020-03-12 11:34:20,JanneRustique,False,False,@HenrikSundstrom Hör en lång analys över utveckling och effekter av åtgärder. Läs- och tänkvärd.  https://t.co/dVSUVm7D4J,,,,,,1238065788185165826,0,0,0,0,
2020-03-12 11:34:21,bubitza,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238065792631087104,0,0,0,0,1238063688944422914
2020-03-12 11:34:37,ViresPopuli,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238065859714854913,0,0,0,0,1238063688944422914
2020-03-12 11:34:46,TheHeavies2002,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238065897828429825,0,0,0,0,1238063688944422914
2020-03-12 11:34:49,krausen1983,True,False,RT @Kemasda23: La ministra Irene Montero  primer positivo por coronavirus en el Gobierno  AHORA QUIERO VER A TODOS LOS QUE ESTUVIERON DICIE…,,,,,,1238065910461628417,0,0,0,0,1238057496444579841
2020-03-12 11:34:51,miriwells,False,False,analizar un frotis para descartar coronavirus. 20 de la tarde  acude otra doctora  me explica que los resultados son normales y que procede a solicitar permiso al SUVEC para que si estos lo consideran necesario realizar estudio de infección de coronavirus. Dicho esto me plantea:,,,,,,1238065918581891072,0,0,0,0,
